termo,quantidade_de_comentarios,percentual_da_amostra
bug,94,1.57
stress,38,0.63
incident,24,0.4
tired,22,0.37
crash,16,0.27
workload,15,0.25
outage,15,0.25
anxiety,14,0.23
deadline,14,0.23
pressure,13,0.22
stressful,12,0.2
on call,11,0.18
deadlines,11,0.18
overload,10,0.17
on-call,7,0.12
stressed,6,0.1
burnout,5,0.08
exhausting,5,0.08
overtime,4,0.07
anxious,3,0.05
drained,3,0.05
overworked,3,0.05
exhaustion,1,0.02
exhausted,1,0.02
